PostAuthorKey,CommenterKey,InteractionCount,UniquePostsCommented,WithinWindowCount,MedianDeltaMinutes,MinDeltaMinutes,SelfCommentCount
id:bulbol,id:donka,39,39,32,1.2833333333333334,0.3,0
id:bulbol,id:spoops,30,30,23,2.45,0.7166666666666667,0
id:bulbol,id:FeelingGood,27,26,20,2.216666666666667,0.43333333333333335,0
id:bulbol,id:pearson19,19,19,15,2.316666666666667,0.5666666666666667,0
id:bulbol,id:whoshot,17,17,15,1.0,0.2,0
id:impactx84,id:donka,15,14,15,0.7833333333333333,0.5333333333333333,0
id:impactx84,id:pearson19,17,17,13,2.033333333333333,0.38333333333333336,0
id:bulbol,id:malwool,20,19,11,3.683333333333333,1.1,0
id:rukk7812,id:donka,17,16,11,2.466666666666667,0.38333333333333336,0
id:bulbol,id:ulsan0101,15,15,11,2.4,0.5333333333333333,0
id:hyeok497,id:donka,15,15,11,1.0,0.3,0
id:solution78,id:FeelingGood,13,12,11,1.5166666666666666,0.5833333333333334,0
id:bulbol,id:okao,21,21,10,5.183333333333334,0.6666666666666666,0
id:zero080,id:cauking,16,16,10,4.683333333333334,0.9666666666666667,0
id:bulbol,id:cytokine1234,13,13,10,2.3,0.95,0
id:solution78,id:donka,12,12,10,1.3166666666666667,0.3333333333333333,0
id:FeelingGood,id:donka,11,11,10,0.75,0.26666666666666666,0
id:impactx84,id:radioshot1,11,11,10,2.6166666666666667,0.3,0
id:rukk7812,id:mirissoul2,11,8,10,2.2666666666666666,0.8333333333333334,0
id:horizon,id:horizon,22,19,9,6.141666666666667,2.1333333333333333,22
id:bulbol,id:sounited13,15,15,9,2.8333333333333335,0.8166666666666667,0
id:bulbol,id:impactx84,12,12,9,2.7583333333333337,1.3666666666666667,0
id:impactx84,id:kiriman,11,11,9,2.8333333333333335,1.85,0
id:naco16,id:FeelingGood,11,11,9,1.5333333333333334,0.55,0
id:radioshot1,id:pearson19,9,8,9,1.3166666666666667,0.43333333333333335,0
id:rukk7812,id:spoops,12,12,8,3.4000000000000004,0.6166666666666667,0
id:impactx84,id:dleoduq1234,11,11,8,1.7833333333333334,0.8333333333333334,0
id:bulbol,id:todfndl12,10,10,8,2.533333333333333,0.8,0
id:rukk7812,id:impactx84,9,9,8,1.6833333333333333,0.6,0
id:bulbol,id:cubana,23,23,7,24.866666666666667,0.9166666666666666,0
id:bulbol,id:fantak,14,14,7,4.85,0.6666666666666666,0
id:bulbol,id:kim2pac,14,14,7,4.841666666666667,1.2666666666666666,0
id:bulbol,id:wind1123,14,14,7,5.324999999999999,2.033333333333333,0
id:impactx84,id:bulbol,13,13,7,5.0,1.4666666666666666,0
id:bulbol,id:dleoduq1234,12,12,7,1.725,0.5833333333333334,0
id:rukk7812,id:pearson19,10,10,7,2.6916666666666664,0.5,0
id:solution78,id:cauking,9,9,7,2.783333333333333,1.45,0
id:bulbol,id:KINGBATI,8,8,7,1.7,0.9333333333333333,0
id:bulbol,id:bundes1,8,8,7,2.6833333333333336,1.2666666666666666,0
id:bulbol,id:kiriman,8,8,7,2.2916666666666665,1.1,0
id:horizon,id:spoops,8,8,7,1.725,0.9833333333333333,0
id:naco16,id:pearson19,8,8,7,1.3250000000000002,0.23333333333333334,0
id:FeelingGood,id:Tenhag,7,7,7,0.8666666666666667,0.6166666666666667,0
id:radioshot1,id:donka,7,7,7,1.0666666666666667,0.21666666666666667,0
id:zero080,id:donka,7,7,7,1.7,0.45,0
id:fantak,id:spoops,7,6,7,2.8666666666666667,0.8333333333333334,0
id:bulbol,id:YoLaTengo,16,14,6,6.641666666666667,1.3333333333333333,0
id:solution78,id:cubana,13,13,6,6.416666666666667,0.8166666666666667,0
id:bulbol,id:forest,13,12,6,6.583333333333333,1.6333333333333333,0
id:bulbol,id:dialine,11,11,6,3.8,1.1666666666666667,0
id:horizon,id:malwool,11,11,6,2.75,0.8666666666666667,0
id:rukk7812,id:Ibrahima,11,11,6,4.133333333333334,1.15,0
id:bulbol,id:ajh30130,9,9,6,2.9,0.6166666666666667,0
id:hyeok497,id:FeelingGood,9,9,6,3.5833333333333335,0.7333333333333333,0
id:naco16,id:donka,9,9,6,2.4,0.6833333333333333,0
id:pearson19,id:donka,9,9,6,1.3,0.7833333333333333,0
id:solution78,id:malwool,9,9,6,2.216666666666667,0.7833333333333333,0
id:bulbol,id:kanoutsider,8,8,6,3.7416666666666667,0.9,0
id:bulbol,id:lfcthismeans,8,8,6,3.158333333333333,1.45,0
id:bulbol,id:rukk7812,8,8,6,2.8583333333333334,1.0,0
id:luna7742,id:monkjm,8,8,6,3.3916666666666666,1.7166666666666666,0
id:solution78,id:spoops,8,8,6,1.3333333333333333,0.38333333333333336,0
id:solution78,id:xxvxx,8,8,6,3.658333333333333,2.0166666666666666,0
id:FeelingGood,id:okao,7,7,6,1.0166666666666666,0.43333333333333335,0
id:hyeok497,id:dleoduq1234,7,7,6,1.2,0.8833333333333333,0
id:pearson19,id:impactx84,7,7,6,2.5833333333333335,1.0666666666666667,0
id:rukk7812,id:whoshot,7,7,6,1.7166666666666666,0.4166666666666667,0
id:BlackEyes23,id:malwool,6,6,6,1.5,1.0,0
id:blue123,id:donka,6,6,6,0.7416666666666667,0.26666666666666666,0
id:blue123,id:whoshot,6,6,6,1.275,0.7666666666666667,0
id:xxvxx,id:donka,6,6,6,2.533333333333333,0.23333333333333334,0
id:yo821281,id:donka,6,6,6,0.65,0.43333333333333335,0
id:zero080,id:FeelingGood,6,6,6,1.025,0.6166666666666667,0
id:6830,id:malwool,6,5,6,1.7833333333333332,1.1666666666666667,0
id:bulbol,id:monkjm,14,11,5,11.983333333333333,2.25,0
id:rukk7812,id:monkjm,11,11,5,9.4,1.0833333333333333,0
id:bulbol,id:Tenhag,9,9,5,3.8333333333333335,0.85,0
id:bulbol,id:kokomong,9,9,5,4.9,0.4166666666666667,0
id:hyeok497,id:okao,9,9,5,4.533333333333333,0.65,0
id:naco16,id:okao,9,9,5,3.683333333333333,0.9,0
id:rukk7812,id:hopes,9,9,5,3.8333333333333335,0.8,0
id:bulbol,id:oasiticjoo19,9,8,5,3.9166666666666665,1.7833333333333334,0
id:impactx84,id:spoops,8,7,5,3.125,1.0,0
id:FeelingGood,id:spoops,7,7,5,4.083333333333333,1.3833333333333333,0
id:bulbol,id:eddie,7,7,5,3.3,1.6333333333333333,0
id:bulbol,id:solution78,7,7,5,2.5833333333333335,0.6333333333333333,0
id:bundes1,id:donka,7,7,5,0.8833333333333333,0.35,0
id:fantak,id:kanoutsider,7,7,5,4.2,0.8833333333333333,0
id:hypeboy,id:donka,7,7,5,0.9,0.55,0
id:impactx84,id:FeelingGood,7,7,5,2.933333333333333,1.1,0
id:impactx84,id:lfcthismeans,7,7,5,4.166666666666667,0.7166666666666667,0
id:rukk7812,id:okao,7,7,5,2.316666666666667,1.8,0
id:FeelingGood,id:pearson19,6,6,5,1.0083333333333333,0.3333333333333333,0
id:deportivo7,id:deportivo7,6,6,5,2.275,1.2833333333333334,6
id:horizon,id:todfndl12,6,6,5,1.5166666666666666,0.7166666666666667,0
id:impactx84,id:bundes1,6,6,5,2.5166666666666666,0.8333333333333334,0
id:impactx84,id:rukk7812,6,6,5,1.7583333333333333,0.9,0
id:impactx84,id:todfndl12,6,6,5,2.533333333333333,0.5166666666666667,0
id:kokomong,id:xxvxx,6,6,5,2.8666666666666667,1.25,0
id:lfcthismeans,id:donka,6,6,5,0.8333333333333333,0.6333333333333333,0
id:ninety5mph,id:malwool,6,6,5,2.475,0.6,0
id:rukk7812,id:kokomong,6,6,5,1.5916666666666668,0.4,0
id:zero080,id:malwool,6,6,5,3.833333333333333,1.4333333333333333,0
id:FeelingGood,id:malwool,6,5,5,2.2666666666666666,0.75,0
id:cytokine1234,id:todfndl12,6,5,5,2.8833333333333333,0.95,0
id:FeelingGood,id:cytokine1234,5,5,5,1.6333333333333333,1.2333333333333334,0
id:bulbol,id:sexline,5,5,5,2.1,0.6666666666666666,0
id:bundes1,id:impactx84,5,5,5,2.3666666666666667,0.95,0
id:cytokine1234,id:malwool,5,5,5,3.4,1.6166666666666667,0
id:horizon,id:progamer77,5,5,5,1.6666666666666667,1.3666666666666667,0
id:hyeok497,id:spoops,5,5,5,1.8,0.85,0
id:naco16,id:spoops,5,5,5,1.9333333333333333,0.6666666666666666,0
id:typoonj2,id:donka,5,5,5,1.3833333333333333,0.45,0
id:zero080,id:okao,5,5,5,1.8333333333333333,0.7166666666666667,0
id:bulbol,id:dlawls,22,22,4,18.191666666666666,1.9666666666666666,0
id:bulbol,id:Ibrahima,10,10,4,8.816666666666666,1.8833333333333333,0
id:rukk7812,id:hypeboy,10,10,4,7.483333333333333,0.6,0
id:bulbol,id:masok01,9,9,4,5.383333333333334,1.0833333333333333,0
id:bulbol,id:85yang,8,8,4,4.775,3.1166666666666667,0
id:bulbol,id:shkj22,8,8,4,7.375,2.65,0
id:hyeok497,id:cytokine1234,8,7,4,4.85,0.95,0
id:6830,id:spoops,7,7,4,3.3833333333333333,0.23333333333333334,0
id:bulbol,id:xxvxx,7,7,4,4.55,2.183333333333333,0
id:grit,id:pearson19,7,7,4,3.6166666666666667,1.3166666666666667,0
id:impactx84,id:okao,7,7,4,2.45,0.7166666666666667,0
id:rukk7812,id:cauking,7,7,4,3.75,1.25,0
id:rukk7812,id:sounited13,7,7,4,4.366666666666666,1.4333333333333333,0
id:bulbol,id:kicking,7,6,4,4.05,2.35,0
id:Volvo,id:cubana,6,6,4,4.333333333333334,0.7833333333333333,0
id:bulbol,id:stynerkn,6,6,4,3.383333333333333,0.6333333333333333,0
id:ehdtks9286,id:pearson19,6,6,4,4.6,2.2666666666666666,0
id:horizon,id:donka,6,6,4,2.6333333333333333,0.5333333333333333,0
id:hyeok497,id:kim2pac,6,6,4,2.0083333333333333,1.0,0
id:hypeboy,id:monkjm,6,6,4,3.1083333333333334,0.8833333333333333,0
id:impactx84,id:kanoutsider,6,6,4,2.325,0.6833333333333333,0
id:kokomong,id:spoops,6,6,4,2.183333333333333,1.35,0
id:modern21,id:Bluewings21,6,6,4,3.441666666666667,1.3166666666666667,0
id:naco16,id:whoshot,6,6,4,4.691666666666666,1.0,0
id:rukk7812,id:thesilver,6,6,4,3.341666666666667,1.4666666666666666,0
id:solution78,id:todfndl12,6,6,4,4.216666666666667,1.7833333333333334,0
id:summernight,id:FeelingGood,6,6,4,1.9833333333333334,0.4666666666666667,0
id:FeelingGood,id:FeelingGood,6,5,4,3.8083333333333336,2.15,6
id:FeelingGood,id:cauking,5,5,4,1.9666666666666666,1.6666666666666667,0
id:alfatini,id:donka,5,5,4,1.0666666666666667,0.23333333333333334,0
id:alfatini,id:malwool,5,5,4,3.2333333333333334,2.55,0
id:blue123,id:hypeboy,5,5,4,4.266666666666667,2.45,0
id:bugfix,id:bulbol,5,5,4,2.2,1.85,0
id:cytokine1234,id:dleoduq1234,5,5,4,2.566666666666667,1.4166666666666667,0
id:cytokine1234,id:kiriman,5,5,4,2.05,1.2166666666666666,0
id:cytokine1234,id:spoops,5,5,4,1.85,0.9166666666666666,0
id:impactx84,id:dadoocom,5,5,4,2.6166666666666667,1.4333333333333333,0
id:lfcthismeans,id:malwool,5,5,4,1.4833333333333334,0.9,0
id:modern21,id:FeelingGood,5,5,4,0.8833333333333333,0.6166666666666667,0
id:naco16,id:cauking,5,5,4,3.8333333333333335,2.216666666666667,0
id:naco16,id:wind1123,5,5,4,2.0,1.6333333333333333,0
id:naco16,id:xxvxx,5,5,4,4.1,2.066666666666667,0
id:rukk7812,id:dleoduq1234,5,5,4,1.9666666666666666,1.0,0
id:rukk7812,id:progamer77,5,5,4,2.4,1.6,0
id:say1673,id:todfndl12,5,5,4,2.533333333333333,1.0833333333333333,0
id:sounited13,id:donka,5,5,4,0.6833333333333333,0.26666666666666666,0
id:xxvxx,id:okao,5,5,4,1.9166666666666667,1.5666666666666667,0
id:zero080,id:spoops,5,5,4,2.6,0.43333333333333335,0
id:zero080,id:xxvxx,5,5,4,2.5,1.0333333333333334,0
id:typoonj2,id:malwool,5,4,4,2.316666666666667,1.3166666666666667,0
id:typoonj2,id:spoops,5,4,4,1.55,0.6166666666666667,0
id:donka,id:djsi,5,2,4,1.5666666666666667,0.7333333333333333,0
id:BlackEyes23,id:spoops,4,4,4,1.25,0.8166666666666667,0
id:FeelingGood,id:rukk7812,4,4,4,2.5666666666666664,2.2333333333333334,0
id:KINGBATI,id:donka,4,4,4,0.4166666666666667,0.18333333333333332,0
id:LJM1389,id:donka,4,4,4,0.875,0.55,0
id:ManU01,id:spoops,4,4,4,2.1666666666666665,1.25,0
