PostAuthorKey,CommenterKey,InteractionCount,UniquePostsCommented,WithinWindowCount,MedianDeltaMinutes,MinDeltaMinutes,SelfCommentCount
id:bulbol,id:donka,39,39,32,1.2833333333333334,0.3,0
id:bulbol,id:spoops,30,30,23,2.45,0.7166666666666667,0
id:bulbol,id:FeelingGood,27,26,20,2.216666666666667,0.43333333333333335,0
id:bulbol,id:pearson19,19,19,15,2.316666666666667,0.5666666666666667,0
id:bulbol,id:whoshot,17,17,15,1.0,0.2,0
id:impactx84,id:donka,15,14,15,0.7833333333333333,0.5333333333333333,0
id:impactx84,id:pearson19,17,17,13,2.033333333333333,0.38333333333333336,0
id:bulbol,id:malwool,20,19,11,3.683333333333333,1.1,0
id:rukk7812,id:donka,17,16,11,2.466666666666667,0.38333333333333336,0
id:bulbol,id:ulsan0101,15,15,11,2.4,0.5333333333333333,0
id:hyeok497,id:donka,15,15,11,1.0,0.3,0
id:solution78,id:FeelingGood,13,12,11,1.5166666666666666,0.5833333333333334,0
id:bulbol,id:okao,21,21,10,5.183333333333334,0.6666666666666666,0
id:zero080,id:cauking,16,16,10,4.683333333333334,0.9666666666666667,0
id:bulbol,id:cytokine1234,13,13,10,2.3,0.95,0
